"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"C73,C72,C71,C70,C37,C36,C35";"C_1206_3216Metric";7;"100u/10V/X5R";;;
2;"C77,C79,C75,C76,C34,C60,C59,C58,C57,C33,C41,C50,C49,C46,C44,C52,C51,C48,C47,C42,C40,C31,C30,C24,C23,C22,C21,C20,C18,C17,C16,C14,C13,C12,C11,C10,C8,C7,C6,C5,C4,C3,C2,C1";"C_0402_1005Metric";44;"100n/16V/X5R";;;
3;"C78,C80";"C_0402_1005Metric";2;"1u/16V/X5R";;;
4;"D11,D10,D6";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";3;"WS2812B";;;
5;"MK1,MK2";"MP34DT05TRA";2;"MP34DT05TR-A";;;
6;"R34,R35";"R_0402_1005Metric";2;"100k/5%/0.063W";;;
7;"F2,F1";"Fuse_0603_1608Metric";2;"0686F2000-01";;;
8;"J8";"TerminalBlock_bornier-2_P5.08mm";1;"Conn_01x02_Male";;;
9;"D9";"RD3P175SNFRATL";1;"RBR10BM60AFHTL";;;
10;"C74,C54,C53";"C_0402_1005Metric";3;"10u/6.3V/X5R";;;
11;"U9";"SON95P300X300X100-7N-D";1;"LD39200PU33R";;;
12;"R11,R10,R19,R18,R12,R9,R8,R25,R24,R23,R22,R21,R20,R17,R14,R13,R7,R6,R2,R1";"R_0402_1005Metric";20;"10k/5%/0.063W";;;
13;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
14;"D3,D5,D4";"LED_0805_2012Metric";3;"LED";;;
15;"U12";"ESP32C3WROOM02N4";1;"ESP32-C3-WROOM-02-N4";;;
16;"C69,C68,C65,C64,C62";"C_0805_2012Metric";5;"47u/10V/X5R";;;
17;"L1";"L_1210_3225Metric";1;"CBC3225T470MR";;;
18;"J6";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Male";;;
19;"R33";"R_0402_1005Metric";1;"3.3K/5%/0.063W";;;
20;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Male";;;
21;"J1,J2";"PinHeader_2x20_P2.54mm_Vertical";2;"Conn_02x20_Counter_Clockwise";;;
22;"R30,R29,R32";"R_0402_1005Metric";3;"10K/5%/0.063W";;;
23;"D7";"D_SOD-323";1;"BZX384B3V3-E3-08";;;
24;"SW1,SW6,SW5,SW4,SW3,SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";6;"SW_Push_Dual";;;
25;"C66,C67";"C_1206_3216Metric";2;"10u/25V/X5R";;;
26;"F3";"Fuse_0603_1608Metric";1;"SF-0603FP015F-2";;;
27;"R31";"R_0402_1005Metric";1;"85.6K/5%/0.063W";;;
28;"U11";"SON95P300X300X80-7N";1;"LMR62421XSD_NOPB";;;
29;"D8";"D_SOD-123";1;"PMEG4010CEGWX";;;
30;"C63";"C_0402_1005Metric";1;"185p/16V/C0G";;;
31;"C61";"C_0603_1608Metric";1;"10u/16V/X5R";;;
32;"R28,R27,R26";"R_0402_1005Metric";3;"470/5%/0.063W";;;
33;"U1";"QFP50P2600X2600X160-176N";1;"STM32H735IGT6";;;
34;"J3";"PinHeader_1x13_P2.54mm_Vertical";1;"Conn_01x13_Male";;;
35;"D2,D1";"D_SOD-123";2;"SD103AW-HE3_A-08";;;
36;"Y3,Y2";"Crystal_SMD_2012-2Pin_2.0x1.2mm";2;"830106545501";;;
37;"C39,C38,C27,C26";"C_0402_1005Metric";4;"6p/16V/COG";;;
38;"U3";"SON127P800X600X80-9N-D";1;"W25N512GVEIG";;;
39;"C29,C28";"C_0402_1005Metric";2;"8p/16V/COG";;;
40;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"ECS-250-8-36CKM-TR3";;;
41;"U7";"BME688";1;"BME688";;;
42;"U8";"Bosch_LGA-14_3x2.5mm_P0.5mm";1;"ISM330ISN";;;
43;"U5";"LGA-12_2x2mm_P0.5mm";1;"LSM303AHTR";;;
44;"C56,C55,C32,C25,C19,C15,C9";"C_0402_1005Metric";7;"2.2u/16V/X5R";;;
45;"R16,R15";"R_0402_1005Metric";2;"5.1K/5%/0.063W";;;
46;"C45";"C_0402_1005Metric";1;"10u/V/X5R/16V";;;
47;"C43";"C_0402_1005Metric";1;"220n/16V/X5R";;;
48;"J5";"GCT_USB4105GFA120";1;"USB4105GFA120";;;
49;"U10";"USBLC62P6";1;"USBLC6-2P6";;;
50;"U6";"LGA12_1";1;"VL53L0CXV0DH_1";;;
51;"U4";"SOIC127P600X175-8N";1;"APS6404L-3SQR-SN";;;
52;"U2";"SOIC127P600X175-8N";1;"MB85RS512TPNF-G-JNERE1";;;
53;"R5,R4,R3";"R_0402_1005Metric";3;"0R";;;
